COMMON_NAME,SECONDARY_NAME,OTHER_NAMES,CATEGORY,OCCUPANCY,CORPORATION,POPULATION_ESTIMATE,LOCAL_GOVERNMENT_AUTHORITY,LOCALITY,REGIONAL_DEVELOPMENT_COMMISSION,ABS_REMOTENESS_2011,Australian Indigenious Language nfd,Arnhem Land and Daly River Region Languages,Yolngu Matha,Cape York Peninsula Languages,Torres Strait Island Languages,Northern Desert Fringe Area Languages,Arandic,Western Desert Languages,Kimberley Area Languages,Other Australian Indigenous Languages,Proportion 1,Proportion 2,Proportion 3,Proportion 4,Proportion 5,Proportion 6,Proportion 7,Proportion 8,Proportion 9,Proportion 10
Djulburr,Djulbard,,Remote Aboriginal Community,Permanent,Djulbard Community Aboriginal Corporation,2,Broome,Dampier Peninsula,Kimberley,Very Remote,0,0,0,0,0,0,0,0,2,0,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%
Dodnun,Mount Elizabeth Station,Mt Elizabeth,Remote Aboriginal Community,Permanent,Dodnun Aboriginal Corporation,43,Wyndham-East Kimberley,Gibb,Kimberley,Very Remote,0,0,0,0,0,0,0,0,43,0,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%
Joy Springs,Eight Mile,,Remote Aboriginal Community,Permanent,EIGHT MILE (ABORIGINAL CORPORATION),60,Derby-West Kimberley,St George Ranges,Kimberley,Very Remote,8,0,0,0,0,0,0,0,0,39,13%,0%,0%,0%,0%,0%,0%,0%,0%,65%
Gulgagulganeng,Emu Creek,Gulgagalganey,Remote Aboriginal Community,Permanent,Gulgagulganeng Aboriginal Corporation,16,Wyndham-East Kimberley,Kununurra,Kimberley,Very Remote,0,0,0,0,0,0,0,0,16,0,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%
Fly Well,,Flywell,Remote Aboriginal Community,Permanent,Flywell Aboriginal Corporation,11,Halls Creek,Mueller Ranges,Kimberley,Very Remote,0,0,0,0,0,11,0,0,0,0,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%
Four Mile,,4 Mile,Remote Aboriginal Community,Permanent,Four Mile Aboriginal Corporation,24,Wyndham-East Kimberley,Lake Argyle,Kimberley,Very Remote,0,0,0,0,0,0,0,0,24,0,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%
Frazier Downs,,,Remote Aboriginal Community,Permanent,Karajarri Traditional Lands Association (Aboriginal Corporation),5,Broome,Lagrange,Kimberley,Very Remote,0,0,0,0,0,0,0,0,5,0,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%
Gulberang,Eight Mile,"8 Mile, Galburring, Gulburung, Gulburang",Remote Aboriginal Community,Permanent,Galburring Aboriginal Corporation,9,Wyndham-East Kimberley,Lake Argyle,Kimberley,Very Remote,0,0,0,0,0,0,0,0,9,0,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%
Galeru Gorge,Mount Pierre Station,"Mt Pierre, Luma Gorge",Remote Aboriginal Community,Permanent,GALERU GORGE ABORIGINAL CORPORATION,28,Halls Creek,Mueller Ranges,Kimberley,Very Remote,0,0,0,0,0,28,0,0,0,0,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%
Galamanda,Galmarringarri,Galamunda,Remote Aboriginal Community,Permanent,Galmarringarri Aboriginal Corporation,20,Derby-West Kimberley,King Leopold Ranges,Kimberley,Very Remote,0,0,0,0,0,0,0,0,0,20,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%
Ganinyi,,,Remote Aboriginal Community,Permanent,Ganinyi Aboriginal Corporation,25,Halls Creek,Mueller Ranges,Kimberley,Very Remote,0,0,0,0,0,25,0,0,0,0,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%
Goolgaradah,,,Remote Aboriginal Community,Permanent,Goolgaradah Enterprise Aboriginal Corporation,4,Halls Creek,Mueller Ranges,Kimberley,Very Remote,0,0,0,0,0,4,0,0,0,0,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%
Geboowama,Rocky Spring,Geboowana,Remote Aboriginal Community,Permanent,Geboowama Aboriginal Corporation,9,Wyndham-East Kimberley,Lake Argyle,Kimberley,Very Remote,0,0,0,0,0,0,0,0,9,0,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%
Gilaroong,,"Gilarong, Gillarong",Remote Aboriginal Community,Permanent,Gilaroong Aboriginal Corp,40,Derby-West Kimberley,St George Ranges,Kimberley,Very Remote,0,0,0,0,0,0,0,0,0,40,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%
Gilly Sharpe,,,Remote Aboriginal Community,Permanent,None,5,Derby-West Kimberley,St George Ranges,Kimberley,Very Remote,0,0,0,0,0,0,0,0,0,5,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%
Gnylmarung,,Gnymarring,Remote Aboriginal Community,Permanent,GNYLMARUNG ABORIGINAL CORPORATION,15,Broome,Dampier Peninsula,Kimberley,Very Remote,0,0,0,0,0,0,0,0,15,0,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%
Gooda Binya,Mirtunkarra,"Goodabinya, Murturakarra, Murturnkarra",Town Based Community or Reserve,Permanent,Mirtunkarra Aboriginal Corporation,21,East Pilbara,Marble Bar,Pilbara,Very Remote,9,0,0,0,0,0,0,0,0,4,43%,0%,0%,0%,0%,0%,0%,0%,0%,19%
Goolarrgon,Midaloon,Goolarrdgoon,Remote Aboriginal Community,Permanent,Goolarrgon Aboriginal Corporation,1,Broome,Dampier Peninsula,Kimberley,Very Remote,0,0,0,0,0,0,0,0,1,0,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%
