COMMON_NAME,SECONDARY_NAME,OTHER_NAMES,CATEGORY,OCCUPANCY,CORPORATION,POPULATION_ESTIMATE,LOCAL_GOVERNMENT_AUTHORITY,LOCALITY,REGIONAL_DEVELOPMENT_COMMISSION,ABS_REMOTENESS_2011,Australian Indigenious Language nfd,Arnhem Land and Daly River Region Languages,Yolngu Matha,Cape York Peninsula Languages,Torres Strait Island Languages,Northern Desert Fringe Area Languages,Arandic,Western Desert Languages,Kimberley Area Languages,Other Australian Indigenous Languages,Proportion 1,Proportion 2,Proportion 3,Proportion 4,Proportion 5,Proportion 6,Proportion 7,Proportion 8,Proportion 9,Proportion 10
Bindoola,Maliacha,"Darwalah, Maliacka, Muliarkar",Remote Aboriginal Community,Seasonal,Darwulah Aboriginal Corporation,0,Wyndham-East Kimberley,Oombulgurri,Kimberley,Very Remote,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Munget,,,Remote Aboriginal Community,Permanent,Munget Aboriginal Corporation,10,Broome,Dampier Peninsula,Kimberley,Very Remote,0,0,0,0,0,0,0,0,10,0,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%
Munjari,,,Remote Aboriginal Community,Seasonal,Marnjal Community Aboriginal Corporation,0,Halls Creek,Mueller Ranges,Kimberley,Very Remote,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Mundud,Red Bluff,Mun Dud,Remote Aboriginal Community,Seasonal,MUNDUD ABORIGINAL CORPORATION,0,Broome,Dampier Peninsula,Kimberley,Very Remote,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Ngarantjadu,Mt Bannerman,"Jilji Bore, Ngarantjardu",Remote Aboriginal Community,Seasonal,Ngarantjadu Aboriginal Corporation,0,Derby-West Kimberley,Mueller Ranges,Kimberley,Very Remote,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Cattle Creek,Ngiling Anjaru,Yinigin Jaru,Remote Aboriginal Community,Seasonal,Ngiling Anjaru Aboriginal Corporation,0,Halls Creek,Ord River,Kimberley,Very Remote,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Ngildu,Neildu,Ngiuldu,Remote Aboriginal Community,Seasonal,Ngildu Aboriginal Corporation,0,Wyndham-East Kimberley,Oombulgurri,Kimberley,Very Remote,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Ngulupi,Balgo Homestead,Ngulupi Cattle Station,Remote Aboriginal Community,Seasonal,None,0,Halls Creek,Tanami,Kimberley,Very Remote,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Ngyallawilli,,"Ngyalawilli, Nyallawilli",Remote Aboriginal Community,Seasonal,Ngalawilli Aboriginal Corporation,0,Halls Creek,Ord River,Kimberley,Very Remote,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Nilargoon,Sunday Island,"Iwanj, Nilagoon",Remote Aboriginal Community,Seasonal,None,0,Broome,Dampier Peninsula,Kimberley,Very Remote,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Billanooka,,,Remote Aboriginal Community,Seasonal,None,0,East Pilbara,Newman,Pilbara,Very Remote,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Nyilil,,Willie Point,Remote Aboriginal Community,Seasonal,Nyilil Aboriginal Corporation,0,Broome,Dampier Peninsula,Kimberley,Very Remote,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Pantijan,,,Remote Aboriginal Community,Seasonal,Pantijan Aboriginal Corporation,0,Derby-West Kimberley,Prince Regent River,Kimberley,Very Remote,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Pipunya,,,Town Based Community or Reserve,Unoccupied,Pipunya Community Inc,0,East Pilbara,Marble Bar,Pilbara,Very Remote,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Puntawari,,,Remote Aboriginal Community,Seasonal,None,0,Wiluna,Little Sandy Desert,Mid West,Very Remote,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Robertson Range,,,Remote Aboriginal Community,Seasonal,None,0,East Pilbara,Newman,Pilbara,Very Remote,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Rollah,,Oompagnapa,Remote Aboriginal Community,Permanent,Rollah Group Aboriginal Corporation,8,Broome,Lagrange,Kimberley,Very Remote,0,0,0,0,0,0,0,0,8,0,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%
Strelley,,,Remote Aboriginal Community,Seasonal,The Strelley Housing Society Incorporated,0,Port Hedland,Strelley,Pilbara,Very Remote,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Walgun,,,Remote Aboriginal Community,Seasonal,Walgun Aboriginal Corporation,0,East Pilbara,Newman,Pilbara,Very Remote,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Worrimbah,,,Remote Aboriginal Community,Seasonal,Worrimbah Aboriginal Corporation,0,Derby-West Kimberley,Mount Hardman,Kimberley,Very Remote,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
White Rock,,,Remote Aboriginal Community,Seasonal,Ngunjiwirri Aboriginal Corporation,0,Halls Creek,Mueller Ranges,Kimberley,Very Remote,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Windong,,,Remote Aboriginal Community,Seasonal,None,0,Wyndham-East Kimberley,Lake Argyle,Kimberley,Very Remote,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Woodstock,,"Woodstock New Village, Mumbulgjari, Mumbultjari, Woodstock Village",Remote Aboriginal Community,Seasonal,Mumbultjari Aboriginal Corporation,0,Port Hedland,Marble Bar,Pilbara,Very Remote,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Flying Foxhole,Worrworrum,,Remote Aboriginal Community,Seasonal,WORRWORRUM NINGGUWUNG ABORIGINAL CORPORATION,0,Wyndham-East Kimberley,Lake Argyle,Kimberley,Very Remote,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Wulununjur,Valentine Island,Wulununju,Remote Aboriginal Community,Seasonal,Wulununjur Aboriginal Corp,0,Broome,Dampier Peninsula,Kimberley,Very Remote,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Yardoogarra,Garimba,,Remote Aboriginal Community,Seasonal,Yardoogarra Aboriginal Corporation,0,Broome,Lagrange,Kimberley,Very Remote,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Yarrunga,Chinaman's Garden,"Alice Downs, Chinaman Garden",Remote Aboriginal Community,Seasonal,Yarrunga Aboriginal Corporation,0,Halls Creek,Ord River,Kimberley,Very Remote,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Yarramurral,,Walgali,Remote Aboriginal Community,Seasonal,None,0,Halls Creek,Tanami,Kimberley,Very Remote,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Woodgamia,Koorda Club,Woodgemia,Town Based Community or Reserve,Permanent,Woodgamia CDEP Aboriginal Corporation,41,Upper Gascoyne,Gascoyne Junction,Gascoyne,Very Remote,0,0,0,0,0,0,0,0,0,41,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%
Bidan,Bedunburra,"Nillibublica, Bedunburru",Remote Aboriginal Community,Permanent,BIDAN ABORIGINAL CORPORATION,12,Derby-West Kimberley,Roebuck,Kimberley,Very Remote,0,0,0,0,0,0,0,0,0,12,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%
Tjalka Wara,Twelve Mile,"12 Mile, Tjalkliwarra, Tjalku Wara",Town Based Community or Reserve,Unoccupied,Tjalku Wara Community Incorporated,0,Port Hedland,Pippingarra,Pilbara,Very Remote,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Wanarn,,Wannan,Remote Aboriginal Community,Permanent,Wanarn Community (Aboriginal Corporation),142,Ngaanyatjarraku,Ngaanyatjarra-Giles,Goldfields - Esperance,Very Remote,0,0,0,0,0,0,0,92,0,0,0%,0%,0%,0%,0%,0%,0%,65%,0%,0%
Pandanus Park,Yurmulun,The Park,Remote Aboriginal Community,Permanent,Yurmulun Aboriginal Corporation,135,Derby-West Kimberley,Willare,Kimberley,Very Remote,11,0,0,0,0,0,0,0,11,4,8%,0%,0%,0%,0%,0%,0%,0%,8%,3%
Kanpa,Pira-Kata,,Remote Aboriginal Community,Permanent,Pira-Kata Aboriginal Corporation,18,Ngaanyatjarraku,Gibson Desert South,Goldfields - Esperance,Very Remote,0,0,0,0,0,0,0,18,0,0,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%
Punmu,Lake Dora,,Remote Aboriginal Community,Permanent,Punmu Aboriginal Corporation,145,East Pilbara,Telfer,Pilbara,Very Remote,0,0,0,0,0,0,0,130,0,0,0%,0%,0%,0%,0%,0%,0%,90%,0%,0%
Kundat Djaru,Ringer Soak,"Kundatjaru, Ringers Soak, Yaruman",Remote Aboriginal Community,Permanent,KUNDAT DJARU ABORIGINAL CORP,179,Halls Creek,Sturt Creek,Kimberley,Very Remote,68,0,0,0,0,32,0,0,4,0,38%,0%,0%,0%,0%,18%,0%,0%,2%,0%
Wandanooka,Kardaloo Farm,Kardulu Farm,Remote Aboriginal Community,Permanent,Kardaloo Aboriginal Corporation,40,Mullewa,Mullewa,Mid West,Remote,0,0,0,0,0,0,0,40,0,0,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%
Kunawarritji,Well 33,"Kunawaritji, Kunawarriji",Remote Aboriginal Community,Permanent,Kunawarritji (Aboriginal Corporation),83,East Pilbara,Gibson Desert North,Pilbara,Very Remote,0,0,0,0,0,0,0,83,0,0,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%
Looma,,,Remote Aboriginal Community,Permanent,Looma Community Incorporated,531,Derby-West Kimberley,Camballin,Kimberley,Very Remote,67,0,0,0,0,9,0,0,4,231,13%,0%,0%,0%,0%,2%,0%,0%,1%,44%
Djoodood,Steel Star,,Remote Aboriginal Community,Seasonal,Djoodood Aboriginal Corporation,0,Broome,Dampier Peninsula,Kimberley,Very Remote,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Cheeditha,Roebourne Town Reserve,,Town Based Community or Reserve,Permanent,Cheeditha Group Aboriginal Corporation,65,Roebourne,Roebourne,Pilbara,Very Remote,0,0,0,0,0,0,0,0,0,65,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
